metric	metric_value	metric_type
abox_axiom_count	0	single_value
abox_axiom_count_incl	0	single_value
annotation_property_count	4	single_value
annotation_property_count_incl	4	single_value
axiom_count	110	single_value
axiom_count_incl	110	single_value
class_count	20	single_value
class_count_incl	20	single_value
dataproperty_count	0	single_value
dataproperty_count_incl	0	single_value
datatypes_count	1	single_value
datatypes_count_incl	1	single_value
individual_count	0	single_value
individual_count_incl	0	single_value
logical_axiom_count	17	single_value
logical_axiom_count_incl	17	single_value
obj_property_count	0	single_value
obj_property_count_incl	0	single_value
ontology_anno_count	3	single_value
ontology_iri	http://example.org/mathkg/	single_value
ontology_version_iri	no.iri	single_value
owl2	true	single_value
owl2_dl	true	single_value
owl2_el	true	single_value
owl2_ql	true	single_value
owl2_rl	true	single_value
rbox_axiom_count	0	single_value
rbox_axiom_count_incl	0	single_value
rdfs	true	single_value
rule_count	0	single_value
rule_count_incl	0	single_value
signature_entity_count	25	single_value
signature_entity_count_incl	25	single_value
tbox_axiom_count	17	single_value
tbox_axiom_count_incl	17	single_value
tboxrbox_axiom_count	17	single_value
tboxrbox_axiom_count_incl	17	single_value
